ime,kapaciteta,mesto,drzava,ekipa,uporaba1,uporaba2,uporaba3,kontinent
Dowdy–Ficklen Stadium,50000,"Greenville, North Carolina",United States,East Carolina Pirates football,American football,,,North America
RheinEnergieStadion,49968,Cologne,Germany,1. FC Köln,Association football,,,Europe
Hiroshima Big Arch,50000,Hiroshima,Japan,Sanfrecce Hiroshima,Association football,,,Asia
Jilin People's Stadium,50000,Jilin City,China,local football teams,Association football,,,Asia
Khalifa International Stadium,50000,Doha,Qatar,Qatar national football team,Association football,,,Asia
Nagai Stadium,50000,Osaka,Japan,Cerezo Osaka,Association football,athletics,,Asia
Phnom Pehn National Olympic Stadium,50000,Phnom Penh,Cambodia,Khemara,Association football,,,Asia
Stade 26 mars,50000,Bamako,Mali,Stade Malien,Association football,,,Africa
Stanford Stadium,50000,"Stanford, California",United States,Stanford Cardinal football,American football,,,North America
Sultan Mizan Zainal Abidin Stadium,50000,Kuala Terengganu,Malaysia,Terengganu FA,Association football,athletics,,Asia
Shiraz Stadium,50000,Shiraz,Iran,,Association football,,,Asia
Henan Provincial Stadium,50000,Zhengzhou,China,local football teams,Association football,,,Asia
Xinjiang Sports Centre,50000,Ürümqi,China,local football teams,Association football,,,Asia
Yanji People's Stadium,50000,Yanji,China,local football teams,Association football,,,Asia
Estádio 11 de Novembro,50000,Luanda,Angola,,Association football,,,Africa
Red Bull Arena (Leipzig),50000,Leipzig,Germany,RB Leipzig,Association football,,,Europe
Guangzhou University City Stadium,50000,Guangzhou,China,local football teams,Association football,,,Asia
Jiangxi Olympic Sports Center,50000,Nanchang,China,local football teams,Association football,athletics,,Asia
Shaheed Veer Narayan Singh International Cricket Stadium,50000,Raipur,India,local teams,Cricket,,,Asia
Gaelic Grounds,49866,Limerick,Ireland,Limerick GAA,Hurling,Gaelic football,,Europe
Estadio Omnilife,49850,Zapopan,Mexico,Club Deportivo Guadalajara,Association football,,,North America
Fritz-Walter-Stadion,49780,Kaiserslautern,Germany,1. FC Kaiserslautern,Association football,,,Europe
Rajamangala Stadium,49722,Bangkok,Thailand,Thailand national football team,Association football,,,Asia
Sydney Cricket Ground,49700,Sydney,Australia,Australia national cricket team,Cricket,Australian rules football,,Australia and Oceania
Estadio José Amalfitani,49540,Buenos Aires,Argentina,Club Atlético Vélez Sársfield,Association football,rugby union,,South America
Ryan Field (stadium),49256,"Evanston, Illinois",United States,Northwestern Wildcats football,American football,,,North America
Carrier Dome,49250,"Syracuse, New York",United States,Syracuse Orange football,American football,basketball,lacrosse,North America
Miyagi Stadium,49133,Rifu,Japan,Vegalta Sendai,Association football,athletics,,Asia
Rangers Ballpark in Arlington,49115,"Arlington, Texas",United States,Texas Rangers,Baseball,,,North America
Chase Field,49033,"Phoenix, Arizona",United States,Arizona Diamondbacks,Baseball,,,North America
AWD-Arena,49000,Hanover,Germany,Hannover 96,Association football,,,Europe
Stadium of Light,49000,Sunderland,United Kingdom,Sunderland A.F.C.,Association football,,,Europe
Estadio Alberto J. Armando,49000,Buenos Aires,Argentina,Club Atlético Boca Juniors,Association football,,,South America
Queensland Sport and Athletics Centre,49000,Brisbane,Australia,,Rugby league,,,Australia and Oceania
Oriole Park at Camden Yards,48876,Baltimore,United States,Baltimore Orioles,Baseball,,,North America
Jinnah Sports Stadium,48800,Islamabad,Pakistan,Pakistan national football team,Association football,cricket,hockey,Asia
Parc des Princes,48712,Paris,France,Paris Saint-Germain,Association football,,,Europe
Frankenstadion,48548,Nuremberg,Germany,1. FC Nürnberg,Association football,,,Europe
Estadio Tomás Adolfo Ducó,48314,Buenos Aires,Argentina,Club Atlético Huracán,Association football,,,South America
Safeco Field,48116,Seattle,United States,Seattle Mariners,Baseball,,,North America
Nelson Mandela Bay Stadium,48000,Port Elizabeth,South Africa,Eastern Province Kings,Rugby union,association football,,Africa
Estadio Malvinas Argentinas,48000,Mendoza,Argentina,Ciudad de Mendoza,Association football,,,South America
Camille Chamoun Sports City Stadium,47799,Beirut,Lebanon,Lebanon national football team,Association football,,,Asia
Koshien Stadium,47757,Nishinomiya,Japan,Hanshin Tigers,Baseball,,,Asia
Fisht Olympic Stadium,47659,Sochi,Russia,,Association football,athletics,,Asia
Stadio Artemio Franchi,47290,Florence,Italy,ACF Fiorentina,Association football,,,Europe
Estadio Monumental David Arellano,47017,Santiago,Chile,Colo-Colo,Association football,,,South America
Estadio Nacional Julio Martínez Prádanos,47000,Santiago,Chile,Chile national football team,Association football,athletics,,South America
Rice Stadium (Rice University),47000,Houston,United States,Rice Owls football,American football,,,North America
Tokyo Dome,47000,Tokyo,Japan,Yomiuri Giants,Baseball,,,Asia
Estádio Olímpico João Havelange,46931,Rio de Janeiro,Brazil,Botafogo,Association football,,,South America
Busch Stadium,46861,St. Louis,United States,St. Louis Cardinals,Baseball,,,North America
Estadio Metropolitano Roberto Meléndez,46788,Barranquilla,Colombia,Colombia national football team,Association football,,,South America
Estadio El Campín,46018,Bogotá,Colombia,Millonarios,Association football,,,South America
ACA-VDCA Stadium,46000,Visakhapatnam,India,Andhra,Cricket,,,Asia
Itaipava Arena Pernambuco,46000,São Lourenço da Mata,Brazil,Clube Náutico Capibaribe,Association football,,,South America
Estádio Olímpico Monumental,46000,Porto Alegre,Brazil,,Association football,,,South America
Peter Mokaba Stadium,46000,Polokwane,South Africa,,Association football,,,Africa
Estádio Paulo Constantino,45954,Presidente Prudente,Brazil,,Association football,,,South America
Estadio Cuscatlán,45925,San Salvador,El Salvador,Alianza F.C.,Association football,,,North America
Reser Stadium,45674,"Corvallis, Oregon",United States,Oregon State Beavers football,American football,,,North America
Rice-Eccles Stadium,45634,Salt Lake City,United States,Utah Utes football,American football,,,North America
Estadio Olímpico Pascual Guerrero,45625,Cali,Colombia,América de Cali,Association football,,,South America
Estadio Nacional (Lima),45574,Lima,Peru,Peru national football team,Association football,,,South America
Páirc Uí Chaoimh,45500,Cork,Ireland,Cork GAA,Hurling,Gaelic football,,Europe
Estádio Ilha do Retiro,45500,Recife,Brazil,Sport Club do Recife,Association football,,,South America
Estadio Ramón Sánchez Pizjuán,45500,Seville,Spain,Sevilla FC,Association football,,,Europe
Sydney Football Stadium,45500,Sydney,Australia,Sydney Roosters,Rugby league,rugby union,association footbal,Australia and Oceania
Stade Adrar,45480,Agadir,Morocco,Hassania Agadir,Association football,,,Africa
Robert F. Kennedy Memorial Stadium,45423,"Washington, D.C.",United States,,Association football,American football,basebal,North America
Otkrytie Arena,45360,Moscow,Russia,FC Spartak Moscow,Association football,,,Asia
Bright House Networks Stadium,44206,"Orlando, Florida",United States,UCF Knights football,American football,,,North America
National Stadium (Uganda),45202,Kampala,Uganda,Uganda national football team,Association football,,,Africa
McLane Stadium,45140,"Waco, Texas",United States,Baylor Bears football,American football,,,North America
Kazan Arena,45105,Kazan,Russia,FC Rubin Kazan,Association football,athletics,,Asia
Estadio Garcilaso,45056,Cusco,Peru,Cienciano del Cuzco,Association football,,,South America
Angel Stadium of Anaheim,45050,"Anaheim, California",United States,Los Angeles Angels of Anaheim,Baseball,,,North America
Estádio Olímpico do Pará,45007,Belém,Brazil,Paysandu Sport Club,Association football,,,South America
"National Hockey Stadium, Lahore",45000,Lahore,Pakistan,Pakistan national field hockey team,Hockey,,,Asia
Arena Corinthians,45000,São Paulo,Brazil,Sport Club Corinthians Paulista,Association football,,,South America
Estadio Rommel Fernández,45000,Panama City,Panama,Federación Panameňa de Fútbol,Association football,athletics,,North America
Bangabandhu National Stadium,45000,Dhaka,Bangladesh,Bangladesh national football team,Association football,athletics,,Asia
National Stadium,45000,Karachi,Pakistan,,Cricket,,,Asia
Barabati Stadium,45000,Cuttack,India,Orissa Cricket Association,Cricket,,,Asia
Vidarbha Cricket Association Stadium,45000,Nagpur,India,Vidarbha cricket team,Cricket,,,Asia
Abbasiyyin Stadium,45000,Damascus,Syria,Al-Jaish,Association football,,,Asia
Allianz Parque,45000,São Paulo,Brazil,Sociedade Esportiva Palmeiras,Association football,,,South America
Kobe Universiade Memorial Stadium,45000,Kobe,Japan,Vissel Kobe,Association football,,,Asia
Roop Singh Stadium,45000,Gwalior,India,Madhya Pradesh Cricket Association,Cricket,,,Asia
Estádio da Machava,45000,Maputo,Mozambique,Mozambique national football team,Association football,,,Africa
Estádio Universitário Pedro Pedrossian,45000,Campo Grande,Brazil,Universidade Federal de Mato Grosso do Sul,Association football,,,South America
Fatorda Stadium,45000,Margao,India,Dempo SC,Association football,,,Asia
Fez Stadium,45000,Fes,Morocco,Maghreb Fez,Association football,,,Africa
Free State Stadium,45000,Bloemfontein,South Africa,Free State Cheetahs,Rugby union,,,Africa
Green Park Stadium,45000,Kanpur,India,Uttar Pradesh cricket team,Cricket,,,Asia
Stade El Menzah,45000,Tunis,Tunisia,Club Africain,Association football,,,Africa
Toyota Stadium,45000,Toyota,Japan,Nagoya Grampus,Association football,,,Asia
Citi Field,45000,New York City,United States,New York Mets,Baseball,,,North America
Yantai Sports Park Stadium,45000,Yantai,China,local football teams,Association football,,,Asia
Panathenaic Stadium,45000,Athens,Greece,,Athletics,,,Europe
Stade de Marrakech,45000,Marrakech,Morocco,Kawkab Marrakech,Association football,,,Africa
Stade Omar Bongo,45000,Libreville,Gabon,FC 105 Libreville,Association football,,,Africa
Lagos National Stadium,45000,Lagos,Nigeria,Nigeria national football team,Association football,,,Africa
Grand Stade de Tanger,45000,Tangier,Morocco,IR Tanger,Association football,,,Africa
Zibo Sports Center Stadium,45000,Zibo,China,local football teams,Association football,,,Asia
Weifang Sports Center Stadium,45000,Weifang,China,local football teams,Association football,,,Asia
Orlando Stadium,45000,Johannesburg,South Africa,Orlando Pirates,Association football,,,Africa
Wankhede Stadium,45000,Mumbai,India,Mumbai cricket team,Cricket,,,Asia
Kanchenjunga Stadium,45000,Siliguri,India,local football teams,Association football,,,Asia
Latakia Sports City Stadium,45000,Latakia,Syria,,Association football,,,Asia
Alumni Stadium,44500,"Chestnut Hill, Massachusetts",United States,Boston College Eagles football,American football,,,North America
Arena Amazonia,44500,Manaus,Brazil,América Futebol Clube,Association football,,,South America
Ulsan Munsu Football Stadium,44466,Ulsan,South Korea,Ulsan Hyundai,Association football,,,Asia
Estádio Governador Alberto Tavares Silva,44200,Teresina,Brazil,Esporte Clube Flamengo,Association football,,,South America
Gwangju World Cup Stadium,44118,Gwangju,South Korea,Gwangju FC,Association football,,,Asia
Amon G. Carter Stadium,44008,"Fort Worth, Texas",United States,TCU Horned Frogs football,American football,,,North America
Levy Mwanawasa Stadium,44000,Ndola,Zambia,Zambia national football team,Association football,,,Africa
Suwon World Cup Stadium,43959,Suwon,South Korea,Suwon Samsung Bluewings,Association football,,,Asia
Riau Main Stadium,43923,Pekanbaru,Indonesia,,Association football,,,Asia
Shandong Provincial Stadium,43700,Jinan,China,local football teams,Association football,,,Asia
Vasil Levski National Stadium,43632,Sofia,Bulgaria,Bulgaria national football team,Association football,,,Europe
PGE Arena Gdańsk,43615,Gdańsk,Poland,Lechia Gdańsk,Association football,,,Europe
Subiaco Oval,43500,Perth,Australia,Fremantle FC,Australian rules football,rugby union,,Australia and Oceania
Citizens Bank Park,43500,Philadelphia,United States,Philadelphia Phillies,Baseball,,,North America
Mbombela Stadium,43500,Nelspruit,South Africa,,Association football,,,Africa
El Nuevo Gasómetro,43494,Buenos Aires,Argentina,Club Atlético San Lorenzo de Almagro,Association football,,,South America
Jeonju World Cup Stadium,43348,Jeonju,South Korea,Jeonbuk Hyundai Motors,Association football,,,Asia
Progressive Field,43345,Cleveland,United States,Cleveland Indians,Baseball,,,North America
Stadion Miejski (Poznań),43269,Poznań,Poland,Lech Poznań,Association football,,,Europe
Ōita Bank Dome,43254,Ōita,Japan,Ōita Trinita,Association football,,,Asia
Estadio Universidad San Marcos,43000,Lima,Peru,Universidad San Marcos,Association football,,,South America
Fitzgerald Stadium,43000,Killarney,Ireland,Kerry GAA,Gaelic football,hurling,,Europe
Arena Pantanal,43000,Cuiabá,Brazil,Clube Esportivo Dom Bosco,Association football,,,South America
Ullevi,43000,Gothenburg,Sweden,,Association football,athletics,,Europe
Arena das Dunas,43000,Natal,Brazil,Federação Norte-rio-grandense de Futebol,Association football,,,South America
Sheikh Zayed Stadium,43000,Abu Dhabi,United Arab Emirates,UAE President Cup,Association football,,,Asia
Sapporo Dome,42831,Sapporo,Japan,Consadole Sapporo,Association football,baseball,,Asia
Villa Park,42788,Birmingham,United Kingdom,Aston Villa F.C.,Association football,,,Europe
Stadion Miejski (Wrocław),42771,Wrocław,Poland,Śląsk Wrocław,Association football,,,Europe
Zhuzhou Stadium,42740,Zhuzhou,China,local football teams,Association football,,,Asia
Estadio Cuauhtémoc,42648,Puebla,Mexico,Puebla F.C.,Association football,,,North America
Estadio Metropolitano de Mérida,42500,Mérida,Venezuela,Estudiantes de Mérida FC,Association football,,,South America
St. Jakob-Park,42500,Basel,Switzerland,FC Basel,Association football,,,Europe
Perak Stadium,42500,Ipoh,Malaysia,Perak FA,Association football,,,Asia
Weserstadion,42500,Bremen,Germany,Werder Bremen,Association football,,,Europe
Petco Park,42445,San Diego,United States,San Diego Padres,Baseball,,,North America
Tohoku Electric Power Big Swan Stadium,42300,Niigata,Japan,Albirex Niigata,Association football,,,Asia
Jeju World Cup Stadium,42256,Seogwipo,South Korea,Jeju United FC,Association football,,,Asia
Miller Park (Milwaukee),42200,Milwaukee,United States,Milwaukee Brewers,Baseball,,,North America
Nouveau Stade de Bordeaux,42115,Bordeaux,France,FC Girondins de Bordeaux,Association football,,,Europe
Great American Ball Park,42059,Cincinnati,United States,Cincinnati Reds,Baseball,,,North America
Mohammed Bin Zayed Stadium,42056,Abu Dhabi,United Arab Emirates,Al-Jazira Club,Association football,,,Asia
Stamford Bridge (stadium),42055,London,United Kingdom,Chelsea F.C.,Association football,,,Europe
Estádio do Zimpeto,42055,Maputo,Mozambique,,Association football,athletics,,Africa
The Gabba,42000,Brisbane,Australia,Australia national cricket team,Cricket,Australian rules football,,Australia and Oceania
McHale Park,42000,Castlebar,Ireland,Mayo GAA,Gaelic football,hurling,,Europe
Estadio Universitario (UANL),42000,San Nicolás de los Garza,Mexico,Tigres de la UANL,Association football,,,North America
Arena da Baixada,42000,Curitiba,Brazil,Atlético Paranaense,Association football,,,South America
Chengdu Sports Centre,42000,Chengdu,China,Chengdu Blades,Association football,,,Asia
Stade Geoffroy-Guichard,42000,Saint-Étienne,France,AS Saint-Étienne,Association football,,,Europe
Estadio Hernando Siles,42000,La Paz,Bolivia,La Paz F.C.,Association football,,,South America
Royal Bafokeng Stadium,42000,Phokeng,South Africa,Platinum Stars F.C.,Rugby union,association football,athletic,Africa
Stadio Flaminio,42000,Rome,Italy,Italy national rugby union team,Rugby union,association football,,Europe
Vodafone Stadium,41903,Istanbul,Turkey,Beşiktaş J.K.,Association football,,,Asia
Nationals Park,41888,"Washington, D.C.",United States,Washington Nationals,Baseball,,,North America
Estadio Gigante de Arroyito,41654,Rosario,Argentina,Rosario Central,Association football,,,South America
Stadio Friuli,41652,Udine,Italy,Udinese Calcio,Association football,,,Europe
Ramat Gan Stadium,41583,Ramat Gan,Israel,Israel national football team,Association football,,,Asia
Estádio Serra Dourada,41574,Goiânia,Brazil,Goiás Esporte Clube,Association football,,,South America
Juventus Stadium,41507,Turin,Italy,Juventus F.C.,Association football,,,Europe
AT&amp;T Park,41503,San Francisco,United States,San Francisco Giants,Baseball,American football,,North America
Estadio Morelos,41500,Morelia,Mexico,Monarcas Morelia,Association football,,,North America
Vanderbilt Stadium,41448,"Nashville, Tennessee",United States,Vanderbilt Commodores football,American football,,,North America
Goyang Stadium,41311,Goyang,South Korea,Goyang KB,Association football,,,Asia
Polideportivo Cachamay,41300,Ciudad Guayana,Venezuela,Atlético Club Mineros de Guayana,Association football,,,South America
Daejeon World Cup Stadium,41295,Daejeon,South Korea,Daejeon Citizen,Association football,,,Asia
Plaza México,41262,Mexico City,Mexico,,Bullfighting,,,North America
Stade Félix-Bollaert,41233,Lens,France,RC Lens,Association football,,,Europe
Colorado State Stadium,41200,"Fort Collins, Colorado",United States,Colorado State Rams football,American football,,,North America
SunTrust Park,41149,Atlanta,United States,Atlanta Braves,Baseball,,,North America
Wrigley Field,41118,Chicago,United States,Chicago Cubs,Baseball,,,North America
Comerica Park,41070,Detroit,United States,Detroit Tigers,Baseball,,,North America
Dynama Stadium (Minsk),41040,Minsk,Belarus,Belarus national football team,Association football,,,Europe
Bulldog Stadium,41031,"Fresno, California",United States,Fresno State Bulldogs football,American football,,,North America
M. M. Roberts Stadium,41000,"Hattiesburg, Mississippi",United States,Southern Miss Golden Eagles football,American football,,,North America
Estadio Olímpico Atahualpa,41000,Quito,Ecuador,Sociedad Deportivo Quito,Association football,,,South America
Minute Maid Park,40950,Houston,United States,Houston Astros,Baseball,,,North America
Estadio Atanasio Girardot,40943,Medellín,Colombia,Atlético Nacional,Association football,,,South America
Kauffman Stadium,40793,"Kansas City, Missouri",United States,Kansas City Royals,Baseball,,,North America
Estadio Defensores del Chaco,40759,Asunción,Paraguay,Asociacion Paraguaya de Futbol,Association football,,,South America
Kashima Soccer Stadium,40728,Kashima,Japan,Kashima Antlers,Association football,,,Asia
Ladd–Peebles Stadium,40646,"Mobile, Alabama",United States,South Alabama Jaguars football,American football,,,North America
Guaranteed Rate Field,40615,Chicago,United States,Chicago White Sox,Baseball,,,North America
Helsinki Olympic Stadium,40600,Helsinki,Finland,Finland national football team,Association football,athletics,,Europe
Estadi Cornellà-El Prat,40500,Barcelona,Spain,RCD Espanyol,Association football,,,Europe
Nagoya Dome,40500,Nagoya,Japan,Chunichi Dragons,Baseball,,,Asia
Stade de Gerland,40494,Lyon,France,Olympique Lyonnais,Association football,,,Europe
Estadio Ciudad de Lanús – Néstor Díaz Pérez,40320,Lanús,Argentina,Club Atlético Lanús,Association football,,,South America
Estadio Metropolitano de Fútbol de Lara,40312,Barquisimeto,Venezuela,Unión Lara,Association football,,,South America
Stadio San Filippo,40200,Messina,Italy,F.C. Messina Peloro,Association football,,,Europe
Estádio do Pacaembu,40199,São Paulo,Brazil,Corinthians,Association football,,,South America
Mỹ Đình National Stadium,40192,Hanoi,Vietnam,Vietnam national football team,Association football,,,Asia
Goodison Park,40158,Liverpool,United Kingdom,Everton F.C.,Association football,,,Europe
TDECU Stadium,40000,Houston,United States,Houston Cougars football,American football,,,North America
Gelora Sriwijaya Stadium,40000,Palembang,Indonesia,Sriwijaya FC,Association football,,,Asia
Hang Jebat Stadium,40000,Malacca,Malaysia,Melaka Telekom,Association football,,,Asia
Peoples Football Stadium,40000,Karachi,Pakistan,HBL FC,Association football,,,Asia
Harapan Bangsa Stadium,40000,Banda Aceh,Indonesia,Persiraja Banda Aceh,Association football,,,Asia
Castelão (Maranhão),40000,São Luís,Brazil,Moto Club,Association football,,,South America
Stade Mohamed Hamlaoui,40000,Constantine,Algeria,Club Sportif de Constantine,Association football,,,Africa
Hong Kong Stadium,40000,Wanchai,Hong Kong,Hong Kong national football team,Association football,Rugby union,,
Gelora Sriwijaya Stadium,40000,Palembang,Indonesia,Sriwijaya FC,Association football,,,Asia
JRD Tata Sports Complex,40000,Jamshedpur,India,local football teams,Association football,,,Asia
March 28 Stadium,40000,Benghazi,Libya,Al-Ahly Benghazi,Association football,,,Africa
Negeri Pulau Pinang Stadium,40000,Batu Kawan,Malaysia,Penang FA,Association football,,,Asia
Accra Sports Stadium,40000,Accra,Ghana,Accra Hearts of Oak Sporting Club,Association football,,,Africa
Rentschler Field (stadium),40000,"East Hartford, Connecticut",United States,Connecticut Huskies football,American football,,,North America
Sarawak Stadium,40000,Kuching,Malaysia,Sarawak FA,Association football,,,Asia
Stade d'Angondjé,40000,Angondjé,Gabon,Gabon national football team,Association football,,,Africa
Bo'an Stadium,40000,Shenzhen,China,Shenzhen Ruby F.C.,Association football,,,Asia
Kunming Tuodong Sports Center,40000,Kunming,China,China national football team,Association football,,,Asia
Vidarbha Cricket Association Ground,40000,Nagpur,India,Vidarbha cricket team,Cricket,,,Asia
Bogyoke Aung San Stadium,40000,Yangon,Burma,local football teams,Association football,,,Asia
Wuhu Olympic Stadium,40000,Wuhu,China,local football teams,Association football,,,Asia
Riverside Sports Center,40000,Shanghai,China,local football teams,Association football,,,Asia
Nippert Stadium,40000,Cincinnati,United States,Cincinnati Bearcats football,American football,Association football,,North America
Riverside Sports Center,40000,Shanghai,China,local football teams,Association football,,,Asia
Darul Makmur Stadium,40000,Kuantan,Malaysia,Pahang FA,Association football,Athletics,,Asia
